,PID,variable,Posterior Alpha Power,SetSize,location
0,1,2S,6.844325182360599,2,S
1,2,2S,1.660919667290014,2,S
2,3,2S,3.348317252236857,2,S
3,4,2S,7.289692310536793,2,S
4,5,2S,2.466619247627973,2,S
5,6,2S,4.703943932830645,2,S
6,7,2S,4.8627651897612365,2,S
7,8,2S,12.148823588739543,2,S
8,9,2S,2.7188728907774866,2,S
9,10,2S,4.7054112348302475,2,S
10,1,2D,5.668708659000083,2,D
11,2,2D,1.6990477067990197,2,D
12,3,2D,3.087030298382548,2,D
13,4,2D,7.112282306455986,2,D
14,5,2D,2.361756256732412,2,D
15,6,2D,4.352845497440325,2,D
16,7,2D,4.473401518510671,2,D
17,8,2D,10.937491163449845,2,D
18,9,2D,2.7414065977633726,2,D
19,10,2D,4.435563403528688,2,D
20,1,4S,5.754192478658584,4,S
21,2,4S,1.6496731025877003,4,S
22,3,4S,2.9427390069693042,4,S
23,4,4S,7.279847087359498,4,S
24,5,4S,2.275415705422192,4,S
25,6,4S,4.381344156537974,4,S
26,7,4S,5.0513918458534475,4,S
27,8,4S,11.3905147169853,4,S
28,9,4S,2.723359752007574,4,S
29,10,4S,4.581093930675361,4,S
30,1,4D,4.754817229571125,4,D
31,2,4D,1.711767371446779,4,D
32,3,4D,2.6020463944461736,4,D
33,4,4D,6.764262054634524,4,D
34,5,4D,2.1384158544906025,4,D
35,6,4D,4.24032015165393,4,D
36,7,4D,4.319609702441073,4,D
37,8,4D,10.57872509210248,4,D
38,9,4D,2.654054090764966,4,D
39,10,4D,4.207778728445548,4,D
