,PID,variable,Posterior Alpha Power,SetSize,location
0,1,2S,4.274141578291369,2,S
1,2,2S,4.900713679226054,2,S
2,3,2S,9.494633533440641,2,S
3,4,2S,6.264226360137952,2,S
4,5,2S,2.4137036299170176,2,S
5,6,2S,2.8750527114233817,2,S
6,7,2S,2.6543552687767114,2,S
7,8,2S,4.05915637453631,2,S
8,9,2S,3.245306948059752,2,S
9,10,2S,3.8214799771812786,2,S
10,11,2S,3.8736201114093984,2,S
11,12,2S,4.154541557438896,2,S
12,13,2S,2.373699242603272,2,S
13,14,2S,2.462790309537934,2,S
14,15,2S,9.156743669936718,2,S
15,16,2S,3.958409306826392,2,S
16,17,2S,4.085125861307425,2,S
17,18,2S,3.4533090458652045,2,S
18,19,2S,3.1623995298300684,2,S
19,20,2S,12.05123954578279,2,S
20,1,2D,4.41265363984206,2,D
21,2,2D,4.522006770552193,2,D
22,3,2D,7.437663906550569,2,D
23,4,2D,6.330695339726333,2,D
24,5,2D,2.3259116557780426,2,D
25,6,2D,2.9226166468169197,2,D
26,7,2D,2.6761706341515,2,D
27,8,2D,3.7742604329890157,2,D
28,9,2D,3.240307215662073,2,D
29,10,2D,3.955857328260202,2,D
30,11,2D,3.47653849426869,2,D
31,12,2D,4.136374840235503,2,D
32,13,2D,2.492108803420989,2,D
33,14,2D,2.3971745466906724,2,D
34,15,2D,8.513492776079472,2,D
35,16,2D,3.6279934461010184,2,D
36,17,2D,4.087217988540881,2,D
37,18,2D,3.6265434485398806,2,D
38,19,2D,3.1227245997366957,2,D
39,20,2D,11.043981164928356,2,D
40,1,4S,4.571417676237935,4,S
41,2,4S,3.9909906600998823,4,S
42,3,4S,7.501697368680845,4,S
43,4,4S,7.0203751426796215,4,S
44,5,4S,2.321338839813563,4,S
45,6,4S,2.8108510414606123,4,S
46,7,4S,2.6019416929815393,4,S
47,8,4S,3.913143305520302,4,S
48,9,4S,3.1290093665961063,4,S
49,10,4S,4.0179500262401975,4,S
50,11,4S,3.6241612718861944,4,S
51,12,4S,4.224569538178674,4,S
52,13,4S,2.2503818723299647,4,S
53,14,4S,2.1123052722085136,4,S
54,15,4S,8.862749344397049,4,S
55,16,4S,3.8880859401088275,4,S
56,17,4S,3.9367977387969035,4,S
57,18,4S,3.5721173892709372,4,S
58,19,4S,3.2157272885560153,4,S
59,20,4S,10.901401795629646,4,S
60,1,4D,4.671407734443207,4,D
61,2,4D,3.8110880369135236,4,D
62,3,4D,6.01441698521405,4,D
63,4,4D,6.593865089389376,4,D
64,5,4D,2.3066183814723153,4,D
65,6,4D,2.832511263116496,4,D
66,7,4D,2.6254185350626478,4,D
67,8,4D,3.632198343859918,4,D
68,9,4D,3.023106405919057,4,D
69,10,4D,3.914225964791614,4,D
70,11,4D,3.406785568319597,4,D
71,12,4D,4.134569247329825,4,D
72,13,4D,2.3314970436986027,4,D
73,14,4D,1.9909173046459656,4,D
74,15,4D,8.218093692459382,4,D
75,16,4D,4.009603227338383,4,D
76,17,4D,3.851843786029923,4,D
77,18,4D,3.3968415718669545,4,D
78,19,4D,3.2291063638933237,4,D
79,20,4D,10.378458538346779,4,D
