sid,factor,timepoint,semipartial correlation
0,Attended Area,700.0,0.1520187462526999
0,Number of Locations,700.0,-0.14424571261194677
0,Overlap Process,700.0,0.1728028680594076
0,Set Size,700.0,0.019424810003066104
1,Attended Area,700.0,0.12995270599487826
1,Number of Locations,700.0,-0.13076750075538807
1,Overlap Process,700.0,0.2336763782755661
1,Set Size,700.0,0.07333155752488492
2,Attended Area,700.0,-0.02336877524472793
2,Number of Locations,700.0,-0.09181429919984163
2,Overlap Process,700.0,0.04730667367684396
2,Set Size,700.0,0.16063730757206704
3,Attended Area,700.0,0.08045656031078018
3,Number of Locations,700.0,-0.1317717136303146
3,Overlap Process,700.0,0.405507348177351
3,Set Size,700.0,0.2510020018316357
4,Attended Area,700.0,0.3597010002817707
4,Number of Locations,700.0,0.10257752433315374
4,Overlap Process,700.0,0.15067893989408615
4,Set Size,700.0,-0.02356557185779409
5,Attended Area,700.0,0.1555708556943495
5,Number of Locations,700.0,0.017203165427067096
5,Overlap Process,700.0,0.322582065711462
5,Set Size,700.0,0.2525243552335192
6,Attended Area,700.0,0.2682475742726831
6,Number of Locations,700.0,0.1131623782851281
6,Overlap Process,700.0,-0.028929368039209022
6,Set Size,700.0,0.5284888325870621
7,Attended Area,700.0,0.3499687061458612
7,Number of Locations,700.0,-0.03354496175813535
7,Overlap Process,700.0,0.019662122045593103
7,Set Size,700.0,0.2606376852970014
8,Attended Area,700.0,0.324061292722759
8,Number of Locations,700.0,0.1097313087919474
8,Overlap Process,700.0,0.08581625429581696
8,Set Size,700.0,0.238241697697781
9,Attended Area,700.0,0.3128244119390994
9,Number of Locations,700.0,-0.02912125744895441
9,Overlap Process,700.0,-0.060119827279658256
9,Set Size,700.0,0.2492573747580559
10,Attended Area,700.0,0.35331593435654235
10,Number of Locations,700.0,0.033259200302514294
10,Overlap Process,700.0,0.4033934381010205
10,Set Size,700.0,0.3679522666163012
11,Attended Area,700.0,0.26688418529124464
11,Number of Locations,700.0,0.13018660727809003
11,Overlap Process,700.0,0.27908942794973
11,Set Size,700.0,0.4793070282857344
12,Attended Area,700.0,0.18841950723298223
12,Number of Locations,700.0,-0.05399450834265635
12,Overlap Process,700.0,0.18623174105984705
12,Set Size,700.0,0.14479871631874303
13,Attended Area,700.0,0.241887336635591
13,Number of Locations,700.0,0.004579243101027055
13,Overlap Process,700.0,0.18352558873690766
13,Set Size,700.0,0.22588705250568245
14,Attended Area,700.0,0.3071858122338638
14,Number of Locations,700.0,-0.0930029493272584
14,Overlap Process,700.0,0.13171546736753448
14,Set Size,700.0,-0.050665743725419536
15,Attended Area,700.0,0.11243193963201424
15,Number of Locations,700.0,0.014137618340487355
15,Overlap Process,700.0,-0.05993004063963341
15,Set Size,700.0,0.17130825927915566
16,Attended Area,700.0,0.07463324551038791
16,Number of Locations,700.0,0.1275035453124979
16,Overlap Process,700.0,-0.03555330426487416
16,Set Size,700.0,0.17251168080014959
17,Attended Area,700.0,0.19947751385374254
17,Number of Locations,700.0,0.09404615068692115
17,Overlap Process,700.0,0.024406573285596155
17,Set Size,700.0,0.2519259713582991
18,Attended Area,700.0,0.06667546111401766
18,Number of Locations,700.0,-0.1537082650290867
18,Overlap Process,700.0,0.09864348152596514
18,Set Size,700.0,0.14513644053537705
19,Attended Area,700.0,0.21025700701021507
19,Number of Locations,700.0,-0.022968729724140116
19,Overlap Process,700.0,0.1683322282324916
19,Set Size,700.0,0.006302130057766189
20,Attended Area,700.0,0.05730665902629087
20,Number of Locations,700.0,-0.1440571441121655
20,Overlap Process,700.0,0.3009937104619042
20,Set Size,700.0,0.38671506218280427
21,Attended Area,700.0,0.31748645596649555
21,Number of Locations,700.0,-0.03635235205424883
21,Overlap Process,700.0,0.0843248996730961
21,Set Size,700.0,0.41552643057630584
22,Attended Area,700.0,0.3658285597587593
22,Number of Locations,700.0,0.15524272895281818
22,Overlap Process,700.0,-0.06301517201213157
22,Set Size,700.0,0.3385868102489086
