sid,timepoint,factor,semipartial correlation
0,-225,Set Size,-0.11068489824496487
0,-175,Set Size,-0.22769666792682472
0,-125,Set Size,-0.033728007404323086
0,-75,Set Size,-0.34145274382915974
0,-25,Set Size,-0.2713151718340518
0,25,Set Size,-0.32530185805013917
0,75,Set Size,-0.20832472280059502
0,125,Set Size,0.10458266649687081
0,175,Set Size,0.04995301686325614
0,225,Set Size,0.09383822263275782
0,275,Set Size,0.2164769999796131
0,325,Set Size,0.16739365243125717
0,375,Set Size,0.21379109681837097
0,425,Set Size,0.0981668260758206
0,475,Set Size,0.23098570967881465
0,525,Set Size,0.10077512513252256
0,575,Set Size,0.06862524447444793
0,625,Set Size,-0.21835842970192632
0,675,Set Size,-0.1195008022727255
0,725,Set Size,-0.2671990326309708
0,775,Set Size,-0.009408221876932701
0,825,Set Size,-0.1233356398179796
0,875,Set Size,0.28565586968155054
0,925,Set Size,0.014898210316371957
0,975,Set Size,-0.1835287855102512
0,1025,Set Size,0.04176849751854551
0,1075,Set Size,-0.15119208071961773
0,1125,Set Size,-0.01636765952172121
0,1175,Set Size,-0.11246028273475216
0,1225,Set Size,-0.14265159269953492
0,-225,Number of Locations,-0.1157197493119488
0,-175,Number of Locations,-0.07998220993068932
0,-125,Number of Locations,0.19800103734552
0,-75,Number of Locations,0.1259096757238768
0,-25,Number of Locations,-0.13300346145545364
0,25,Number of Locations,-0.16404475955189035
0,75,Number of Locations,-0.07585197500026454
0,125,Number of Locations,0.04157119136341344
0,175,Number of Locations,-0.15594599888987346
0,225,Number of Locations,-0.134439498172291
0,275,Number of Locations,-0.07343798897912042
0,325,Number of Locations,-0.0037615169686998945
0,375,Number of Locations,-0.1192717392624136
0,425,Number of Locations,-0.21952800609343454
0,475,Number of Locations,-0.08697163033936041
0,525,Number of Locations,-0.23805379440804963
0,575,Number of Locations,-0.18061604835834996
0,625,Number of Locations,-0.2880142641125522
0,675,Number of Locations,-0.19591556592822448
0,725,Number of Locations,-0.3111980222798917
0,775,Number of Locations,-0.08985133429837867
0,825,Number of Locations,-0.18704760162571318
0,875,Number of Locations,0.07710322968038572
0,925,Number of Locations,-0.15214640149798023
0,975,Number of Locations,-0.26516576400832215
0,1025,Number of Locations,-0.1678465466437303
0,1075,Number of Locations,-0.10491340638486638
0,1125,Number of Locations,0.010213574493660173
0,1175,Number of Locations,-0.14737453913633589
0,1225,Number of Locations,-0.20086435273239883
0,-225,Overlap Process,0.2644689605493876
0,-175,Overlap Process,0.08503285440589617
0,-125,Overlap Process,-0.18974062995206903
0,-75,Overlap Process,0.1767570208430638
0,-25,Overlap Process,0.1987159947297723
0,25,Overlap Process,0.3935109288715699
0,75,Overlap Process,0.11572038699302177
0,125,Overlap Process,0.057878708950339884
0,175,Overlap Process,0.21768273727195103
0,225,Overlap Process,0.30302729717928556
0,275,Overlap Process,0.22320140427585305
0,325,Overlap Process,0.30439868952984345
0,375,Overlap Process,0.22936505484051214
0,425,Overlap Process,0.18771747411087905
0,475,Overlap Process,0.08243756977478199
0,525,Overlap Process,0.1913601275570197
0,575,Overlap Process,0.17427180782365545
0,625,Overlap Process,0.3186220903883775
0,675,Overlap Process,0.20253183921479243
0,725,Overlap Process,0.20820213078079286
0,775,Overlap Process,0.04189562232279316
0,825,Overlap Process,0.13462701227222873
0,875,Overlap Process,0.1003495142372209
0,925,Overlap Process,0.13383947678222027
0,975,Overlap Process,0.23359157698967836
0,1025,Overlap Process,0.10263016239938234
0,1075,Overlap Process,0.10322948474734428
0,1125,Overlap Process,0.13818058702196073
0,1175,Overlap Process,0.07617995459069847
0,1225,Overlap Process,0.09141909786009546
0,-225,Attended Area,-0.1941965840715407
0,-175,Attended Area,-0.07647387593433658
0,-125,Attended Area,-0.0568195190599269
0,-75,Attended Area,-0.1827077305928674
0,-25,Attended Area,0.276051685250907
0,25,Attended Area,-0.23878887360771253
0,75,Attended Area,0.35535104751767477
0,125,Attended Area,0.6442292547433781
0,175,Attended Area,0.3240768875047367
0,225,Attended Area,-0.023988486038581457
0,275,Attended Area,0.16960763561014885
0,325,Attended Area,0.10324953540192033
0,375,Attended Area,0.23212802666133536
0,425,Attended Area,0.15647980762438188
0,475,Attended Area,0.14152609005676173
0,525,Attended Area,0.10779434504778648
0,575,Attended Area,0.21793386516870075
0,625,Attended Area,-0.019627792400255514
0,675,Attended Area,0.13542204656606943
0,725,Attended Area,0.045848982526474874
0,775,Attended Area,0.1434382563635012
0,825,Attended Area,0.229309041589312
0,875,Attended Area,0.3484196918026436
0,925,Attended Area,0.09328896612901712
0,975,Attended Area,0.22473874847322955
0,1025,Attended Area,0.0030115364308855755
0,1075,Attended Area,0.21956838822509375
0,1125,Attended Area,0.18420026127159098
0,1175,Attended Area,0.19466829419287557
0,1225,Attended Area,0.09692544403695505
0,-225,Total,0.3715234350407521
0,-175,Total,0.2515132160198687
0,-125,Total,0.27346128185216295
0,-75,Total,0.4781650783944351
0,-25,Total,0.4395591191327144
0,25,Total,0.5772478415706318
0,75,Total,0.4374697622970665
0,125,Total,0.6477025561746191
0,175,Total,0.40090344706506675
0,225,Total,0.35281448126638076
0,275,Total,0.34927786192998767
0,325,Total,0.35326780914459494
0,375,Total,0.3928008673570887
0,425,Total,0.3373348823534959
0,475,Total,0.2999290039264429
0,525,Total,0.3378746169895077
0,575,Total,0.3273813902933923
0,625,Total,0.4417274342281265
0,675,Total,0.3074024857445077
0,725,Total,0.41837391031779175
0,775,Total,0.17503876496648507
0,825,Total,0.3335958747196417
0,875,Total,0.43289887784259157
0,925,Total,0.21380816011910986
0,975,Total,0.425011742304
0,1025,Total,0.2033933070895768
0,1075,Total,0.2983865811761099
0,1125,Total,0.21631260999252672
0,1175,Total,0.2744770696134814
0,1225,Total,0.2619082006918052
1,-225,Set Size,0.06704329681005929
1,-175,Set Size,-0.12887587212380192
1,-125,Set Size,0.21514518662616197
1,-75,Set Size,-0.12306890790406531
1,-25,Set Size,-0.09176267849871755
1,25,Set Size,-0.025400996298229096
1,75,Set Size,-0.09879246049281136
1,125,Set Size,0.02188359325290671
1,175,Set Size,0.10798014914733464
1,225,Set Size,0.25953375986773153
1,275,Set Size,0.26143345258444944
1,325,Set Size,0.3270809915388267
1,375,Set Size,0.030694708160531516
1,425,Set Size,0.00461778151472695
1,475,Set Size,-0.033201343964063414
1,525,Set Size,-0.1492200364788117
1,575,Set Size,-0.2299542796414738
1,625,Set Size,0.037331697791243484
1,675,Set Size,0.040119759266256605
1,725,Set Size,0.1913936510298421
1,775,Set Size,0.1400980267595639
1,825,Set Size,0.13788238135558753
1,875,Set Size,0.16315610388974663
1,925,Set Size,0.029064788176359685
1,975,Set Size,0.11017777302992593
1,1025,Set Size,0.07542222946974173
1,1075,Set Size,0.12643210819828932
1,1125,Set Size,0.05743824276718608
1,1175,Set Size,0.21296396919894053
1,1225,Set Size,0.04812954265335149
1,-225,Number of Locations,-0.037409095595974405
1,-175,Number of Locations,0.0005119291240037768
1,-125,Number of Locations,0.32515499638476314
1,-75,Number of Locations,-0.03819644767577674
1,-25,Number of Locations,-0.16129115037458377
1,25,Number of Locations,-0.14204306173041986
1,75,Number of Locations,-0.08973786693695741
1,125,Number of Locations,-0.2631187131154873
1,175,Number of Locations,-0.11747108692462001
1,225,Number of Locations,0.06139252001885213
1,275,Number of Locations,0.0019875779328574848
1,325,Number of Locations,-0.13840192977449142
1,375,Number of Locations,-0.1180946088370568
1,425,Number of Locations,-0.19687015211633838
1,475,Number of Locations,-0.030604985489549937
1,525,Number of Locations,-0.17425492219819505
1,575,Number of Locations,-0.16576989087709693
1,625,Number of Locations,-0.16872652231175608
