factor,timepoint,BF
Attended Area,-225,0.22273542137040464
Attended Area,-175,0.22299075288857864
Attended Area,-125,0.24939734597276872
Attended Area,-75,0.29351937367077796
Attended Area,-25,0.22448040707478206
Attended Area,25,1.2089987226201302
Attended Area,75,0.2315917430730641
Attended Area,125,1695.5243719161283
Attended Area,175,5074.924854154025
Attended Area,225,3448.480819557619
Attended Area,275,1316.1782081759736
Attended Area,325,1984.7192248035324
Attended Area,375,2994.372214468963
Attended Area,425,992.824840805325
Attended Area,475,5120.046992738948
Attended Area,525,869.881367346161
Attended Area,575,1347.5229598245169
Attended Area,625,185.99481526843107
Attended Area,675,437.0865050992381
Attended Area,725,47.89776913994422
Attended Area,775,23.49755639872242
Attended Area,825,113.79644444302359
Attended Area,875,18.128530471427155
Attended Area,925,20.399085740666596
Attended Area,975,0.9748828580723654
Attended Area,1025,0.24509823649154805
Attended Area,1075,0.22623409288965898
Attended Area,1125,0.22198676812864837
Attended Area,1175,0.23029208099632556
Attended Area,1225,0.2328878233476861
Number of Locations,-225,0.24079540466341431
Number of Locations,-175,0.3003612319306342
Number of Locations,-125,0.29572691643036636
Number of Locations,-75,0.24281775264455305
Number of Locations,-25,0.2220119916332456
Number of Locations,25,0.45837802552020834
Number of Locations,75,0.22423837721272386
Number of Locations,125,1.494838449921037
Number of Locations,175,0.44903383494613874
Number of Locations,225,42.38614835755613
Number of Locations,275,0.742102530073698
Number of Locations,325,1.2802720202932847
Number of Locations,375,1.509258600674094
Number of Locations,425,0.7617352268982442
Number of Locations,475,0.7711949059487246
Number of Locations,525,0.2647851513463327
Number of Locations,575,0.2946990657048195
Number of Locations,625,0.24666608833040418
Number of Locations,675,0.22183240018047584
Number of Locations,725,0.24936738120071716
Number of Locations,775,0.22051520566165225
Number of Locations,825,0.48379164252781054
Number of Locations,875,0.62706433343721
Number of Locations,925,4.520367739459116
Number of Locations,975,0.5482381523192449
Number of Locations,1025,51.43409627176395
Number of Locations,1075,9.9438396530708
Number of Locations,1125,3.5551203974945946
Number of Locations,1175,0.3666143546691754
Number of Locations,1225,1.4929749091296916
Overlap Process,-225,0.2770196912384126
Overlap Process,-175,0.22214683399940124
Overlap Process,-125,0.24763813518115366
Overlap Process,-75,0.23955146666223925
Overlap Process,-25,0.24078429896311213
Overlap Process,25,3.0922634975095393
Overlap Process,75,0.5916453740847423
Overlap Process,125,0.9488699762282745
Overlap Process,175,0.36511321387019113
Overlap Process,225,32.96528367108537
Overlap Process,275,12.220767443951667
Overlap Process,325,337.8053333017497
Overlap Process,375,52.53707602693333
Overlap Process,425,97.06712228082203
Overlap Process,475,12.590474162011938
Overlap Process,525,13.815025252279122
Overlap Process,575,76.0755994710384
Overlap Process,625,12.729596665682974
Overlap Process,675,25.829595128459058
Overlap Process,725,17.038077604406386
Overlap Process,775,24.779269319265627
Overlap Process,825,152.63796770364152
Overlap Process,875,20.947420081462756
Overlap Process,925,35.980560703377265
Overlap Process,975,26.679589584193884
Overlap Process,1025,70.48011207918333
Overlap Process,1075,38.67849173676328
Overlap Process,1125,121.55280263466881
Overlap Process,1175,1.5527964644367196
Overlap Process,1225,2.21381893748323
Set Size,-225,0.22191961501849677
Set Size,-175,0.3340145919612694
Set Size,-125,0.24601317769859254
Set Size,-75,0.23471327390079225
Set Size,-25,0.23305123768777528
Set Size,25,0.30983211219540524
Set Size,75,0.22481310340002028
Set Size,125,972.4141174062314
Set Size,175,1607.9466897665534
Set Size,225,838.9488285439693
Set Size,275,2686.081731406271
Set Size,325,3234.0187500109573
Set Size,375,8030.478192794399
Set Size,425,14947.229876915291
Set Size,475,1781.8460674435848
Set Size,525,1510.680888741798
Set Size,575,614.5128109307485
Set Size,625,155.0415099829069
Set Size,675,222.6831625544218
Set Size,725,205.35081628085925
Set Size,775,740.4881524583576
Set Size,825,170.39121140855644
Set Size,875,248.60895194552336
Set Size,925,51.103079488182566
Set Size,975,179.3130054192065
Set Size,1025,52.926393369703405
Set Size,1075,15.682994770593805
Set Size,1125,40.98669008114301
Set Size,1175,190.95385411906076
Set Size,1225,6.375871283862644
